קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט
GLG-P-L31,10DVK52.2102338,חשבונית מס כולל מלאי,07/03/2021,5051390,אבן אודם,0,אבן אודם,שונות,03/03/2021,טריגר ברבור,N,חומרי ניקוי ,,81,0.3,ILS,0.3,0,0,0,24.3,03/03/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
GLG-P-L31,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,טריגר ברבור,N,חומרי ניקוי ,,10000,1.15,ILS,1.15,0,0,0,11500,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-P-L31,10DVK52.2110551,חשבונית מס כולל מלאי,04/11/2021,5051390,אבן אודם,0,אבן אודם,שונות,03.11.21,טריגר ברבור,N,חומרי ניקוי ,,50,1.4,ILS,1.4,0,0,0,70,03/11/2021,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
GLG-R-CN-ALGOHOL-70%-18L,10DVK52.2103630,חשבונית מס כולל מלאי,12/04/2021,5051582,"גרינליין גלובל ג'י אל ג'י בע""מ ",4464316,"גרינליין גלובל ג'י אל ג'י בע""מ ",שונות,20GG11.21000009,טריגר ברבור,N,חומרי ניקוי ,,2,200,ILS,200,0,0,0,400,08/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK62.2100083,חשבונית זיכוי כספית,20/05/2021,5051219,איתמר באן,0,לקוח אינטרנט חומרי ניקוי,שונות,1912,מארז חסכון,N,חומרי ניקוי ,,-1,102.86,ILS,102.86,0,0,0,-102.86,30/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2100555,חשבונית מס כולל מלאי,17/01/2021,5051219,אסף טוריסקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2005,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,15/01/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2100564,חשבונית מס כולל מלאי,17/01/2021,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,2006,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,16/01/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2100678,חשבונית מס כולל מלאי,19/01/2021,5051219,יצחק שרביה,0,לקוח אינטרנט חומרי ניקוי,שונות,2007,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,18/01/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2102077,חשבונית מס כולל מלאי,28/02/2021,5051219,אסף טוריסקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2016,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,24/02/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2102336,חשבונית מס כולל מלאי,07/03/2021,5051219,שירי פיש,0,לקוח אינטרנט חומרי ניקוי,שונות,2020,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,03/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2102935,חשבונית מס כולל מלאי,21/03/2021,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,2022,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,19/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2103270,חשבונית מס כולל מלאי,04/04/2021,5051219,מאיה פלג,0,לקוח אינטרנט חומרי ניקוי,שונות,2023,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,31/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2103789,חשבונית מס כולל מלאי,19/04/2021,5051219,רן כץ,0,לקוח אינטרנט חומרי ניקוי,שונות,2025,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,18/04/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2104482,חשבונית מס כולל מלאי,06/05/2021,5051219,תמר זהר,0,לקוח אינטרנט חומרי ניקוי,שונות,2028,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,05/05/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2104861,חשבונית מס כולל מלאי,18/05/2021,5051219,אסף טוריסקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2030,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,18/05/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2105598,חשבונית מס כולל מלאי,07/06/2021,5051219,קובי הורוביץ,0,לקוח אינטרנט חומרי ניקוי,שונות,2031,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,06/06/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2108695,חשבונית מס כולל מלאי,05/09/2021,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,2036,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,26/08/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2108685,חשבונית מס כולל מלאי,05/09/2021,5051219,אסף טוריסקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2035,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,26/08/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2109075,חשבונית מס כולל מלאי,26/09/2021,5051219,אסף טוריסקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2049,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,15/09/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2109166,חשבונית מס כולל מלאי,30/09/2021,5051219,מרב שטרן,0,לקוח אינטרנט חומרי ניקוי,שונות,2050,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,26/09/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2109632,חשבונית מס כולל מלאי,12/10/2021,5051219,עידית דמבק,0,לקוח אינטרנט חומרי ניקוי,שונות,2052,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,11/10/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2109976,חשבונית מס כולל מלאי,21/10/2021,5051219,אסף טוריסקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2053,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,20/10/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2110077,חשבונית מס כולל מלאי,24/10/2021,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,2054,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,23/10/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2110196,חשבונית מס כולל מלאי,26/10/2021,5051219,קובי הורוביץ,0,לקוח אינטרנט חומרי ניקוי,שונות,2055,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,26/10/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2100496,חשבונית מס כולל מלאי,14/01/2021,5051219,רונן נורני,0,לקוח אינטרנט חומרי ניקוי,שונות,2004,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,13/01/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2100564,חשבונית מס כולל מלאי,17/01/2021,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,2006,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,16/01/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2100835,חשבונית מס כולל מלאי,25/01/2021,5051219,ערן רוזן,0,לקוח אינטרנט חומרי ניקוי,שונות,2008,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,21/01/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2100935,חשבונית מס כולל מלאי,27/01/2021,5051219,שירי פיש,0,לקוח אינטרנט חומרי ניקוי,שונות,2011,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,27/01/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2101327,חשבונית מס כולל מלאי,08/02/2021,5051219,דן אורדובר,0,לקוח אינטרנט חומרי ניקוי,שונות,2012,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,07/02/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2102078,חשבונית מס כולל מלאי,28/02/2021,5051219,Noam Raz,0,לקוח אינטרנט חומרי ניקוי,שונות,2017,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,24/02/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2102337,חשבונית מס כולל מלאי,07/03/2021,5051219,נטע מה-יפית,0,לקוח אינטרנט חומרי ניקוי,שונות,2019,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,01/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK61.2100100,חשבונית זיכוי,16/03/2021,5051219,נטע מה-יפית,0,לקוח אינטרנט חומרי ניקוי,שונות,2019,מארז לשימוש יומיומי,N,חומרי ניקוי ,,-1,106.84,ILS,106.8376,0,0,0,-106.84,01/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2103269,חשבונית מס כולל מלאי,04/04/2021,5051219,דניאל רוסוחצקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2024,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,02/04/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2103881,חשבונית מס כולל מלאי,20/04/2021,5051219,שחר וילק,0,לקוח אינטרנט חומרי ניקוי,שונות,2026,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,19/04/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2108695,חשבונית מס כולל מלאי,05/09/2021,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,2036,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,26/08/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2108695,חשבונית מס כולל מלאי,05/09/2021,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,2036,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,26/08/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2108792,חשבונית מס כולל מלאי,12/09/2021,5051219,Omer Jacobs,0,לקוח אינטרנט חומרי ניקוי,שונות,2047,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,11/09/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2109631,חשבונית מס כולל מלאי,12/10/2021,5051219,תחיה רודובסקי,0,לקוח אינטרנט חומרי ניקוי,שונות,2051,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,04/10/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-6011-23010400-25L,10DVK52.2101415,חשבונית מס כולל מלאי,10/02/2021,50312254,"טננגרופ בע""מ",6706703,"טננגרופ בע""מ",שונות,1517371,ממיס ומנקה שומנים תעשייתיים,N,חומרי ניקוי ,,2,247,ILS,540,54.2593,0,586,494,08/02/2021,"רוטל דבקים וכימיקלים בע""מ",לירן מסטל,3,2042,חמרי ניקוי
GLG-6011-23010400-25L,10DVK52.2102095,חשבונית מס כולל מלאי,28/02/2021,50312254,"טננגרופ בע""מ",6706703,"טננגרופ בע""מ",שונות,1517609,ממיס ומנקה שומנים תעשייתיים,N,חומרי ניקוי ,,3,247,ILS,540,54.2593,0,879,741,25/02/2021,"רוטל דבקים וכימיקלים בע""מ",לירן מסטל,3,2042,חמרי ניקוי
GLG-6052-20100403-5L,10DVK52.2105984,חשבונית מס כולל מלאי,16/06/2021,1000000,ראובן בינימין,0,לקוחות שונים,שונות,16.06.21.,מנקה תנורים וגרילים,5L,חומרי ניקוי ,,1,70,ILS,70,0,0,0,70,16/06/2021,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
GLG-6052-20100403-5L,10DVK52.2108621,חשבונית מס כולל מלאי,02/09/2021,1000000,אוריה חפץ,0,לקוחות שונים,שונות,31.08.21,מנקה תנורים וגרילים,5L,חומרי ניקוי ,,1,60,ILS,60,0,0,0,60,31/08/2021,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
GLG-6052-20100403-5L,10DVK52.2101222,חשבונית מס כולל מלאי,04/02/2021,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6997,מנקה תנורים וגרילים,5L,חומרי ניקוי ,zz114,60,37,ILS,37,0,0,0,2220,01/02/2021,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
GLG-6052-20100403-5L,10DVK52.2104449,חשבונית מס כולל מלאי,05/05/2021,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,7138,מנקה תנורים וגרילים,5L,חומרי ניקוי ,zz114,100,37,ILS,37,0,0,0,3700,04/05/2021,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
GLG-6052-42310403-750ML,10DVK52.2101222,חשבונית מס כולל מלאי,04/02/2021,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6997,מנקה תנורים וגרילים,750ML,חומרי ניקוי ,zz100,240,11,ILS,11,0,0,0,2640,01/02/2021,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
GLG-6052-42310403-750ML,10DVK52.2103700,חשבונית מס כולל מלאי,13/04/2021,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,7092,מנקה תנורים וגרילים,750ML,חומרי ניקוי ,zz100,300,11,ILS,11,0,0,0,3300,04/04/2021,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
GLG-6052-42310403-750ML,10DVK52.2108292,חשבונית מס כולל מלאי,23/08/2021,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,7270,מנקה תנורים וגרילים,750ML,חומרי ניקוי ,zz100,360,11.88,ILS,11,-8,0,-316.8,4276.8,02/08/2021,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
GLG-8913-20100000-5L,10DVK52.2102989,חשבונית מס כולל מלאי,22/03/2021,5051187,"טורבוג'ן בע""מ",,"טורבוג'ן בע""מ",עיבוד מתכת ,,מנקה מיכלים ודוודים,5L,חומרי ניקוי ,,1,230,ILS,251,8.3665,0,21,230,22/03/2021,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
GLG-8913-20100000-5L,10DVK52.2106024,חשבונית מס כולל מלאי,17/06/2021,5051187,"טורבוג'ן בע""מ",,"טורבוג'ן בע""מ",עיבוד מתכת ,T-1388,מנקה מיכלים ודוודים,5L,חומרי ניקוי ,,1,248,ILS,251,1.1952,0,3,248,17/06/2021,"רוטל דבקים וכימיקלים בע""מ",גיא חן ,3,2042,חמרי ניקוי
