קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט
WTM-BOX-283/180/264-RSC,10DVK52.2002894,חשבונית מס כולל מלאי,01/04/2020,5051219,יעל לוין יעקבי,0,לקוח אינטרנט חומרי ניקוי,שירותים,1924,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,31/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2003000,חשבונית מס כולל מלאי,05/04/2020,5051219,עידו מינץ,0,לקוח אינטרנט חומרי ניקוי,שונות,1930,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,04/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2003223,חשבונית מס כולל מלאי,13/04/2020,5051219,אלי מקסימוב,0,לקוח אינטרנט חומרי ניקוי,שונות,1938,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,10/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2003302,חשבונית מס כולל מלאי,19/04/2020,5051219,לואיזה טר-אוגנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,1950,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,15/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2004046,חשבונית מס כולל מלאי,12/05/2020,5051219,ניב ברזילי,0,לקוח אינטרנט חומרי ניקוי,שונות,1972,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,11/05/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2004439,חשבונית מס כולל מלאי,24/05/2020,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,1973,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,24/05/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2005160,חשבונית מס כולל מלאי,14/06/2020,5051219,אירית ברקן,0,לקוח אינטרנט חומרי ניקוי,שונות,1976,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,13/06/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2006083,חשבונית מס כולל מלאי,09/07/2020,5051219,אילנה שניידר,0,לקוח אינטרנט חומרי ניקוי,שונות,1980,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,07/07/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2006200,חשבונית מס כולל מלאי,14/07/2020,5051219,עידן גרינברג,0,לקוח אינטרנט חומרי ניקוי,שונות,1983,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,13/07/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2007459,חשבונית מס כולל מלאי,19/08/2020,5051219,נעמה מיור,0,לקוח אינטרנט חומרי ניקוי,שונות,1986,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,18/08/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2008397,חשבונית מס כולל מלאי,16/09/2020,5051219,יאנה לוינסון,0,לקוח אינטרנט חומרי ניקוי,שונות,1987,מארז חסכון,N,חומרי ניקוי ,,1,0,ILS,106.8376,100,0,106.84,0,23/08/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2007777,חשבונית מס כולל מלאי,30/08/2020,5051219,אלה רוזנוב,0,לקוח אינטרנט חומרי ניקוי,שונות,1989,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,28/08/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2008054,חשבונית מס כולל מלאי,06/09/2020,5051219,נתן קליימן,0,לקוח אינטרנט חומרי ניקוי,שונות,1990,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,05/09/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2010371,חשבונית מס כולל מלאי,12/11/2020,5051219,מאיה רגב,0,לקוח אינטרנט חומרי ניקוי,שונות,1995,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,11/11/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2010578,חשבונית מס כולל מלאי,18/11/2020,5051219,גליה שטרן,0,לקוח אינטרנט חומרי ניקוי,שונות,1996,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,17/11/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2010825,חשבונית מס כולל מלאי,24/11/2020,5051219,נעמה מיור,0,לקוח אינטרנט חומרי ניקוי,שונות,1997,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,19/11/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2011330,חשבונית מס כולל מלאי,08/12/2020,5051219,קובי הורוביץ,0,לקוח אינטרנט חומרי ניקוי,שונות,1998,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,07/12/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2012029,חשבונית מס כולל מלאי,30/12/2020,5051219,גלית הרמן,0,לקוח אינטרנט חומרי ניקוי,שונות,2002,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,29/12/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2002108,חשבונית מס כולל מלאי,05/03/2020,5051219,עודד ניסיון,0,לקוח אינטרנט חומרי ניקוי,שונות,1859,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,05/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK61.2000065,חשבונית זיכוי,09/03/2020,5051219,עודד ניסיון,0,לקוח אינטרנט חומרי ניקוי,שונות,1859,מארז לשימוש יומיומי,N,חומרי ניקוי ,,-1,106.84,ILS,106.8376,0,0,0,-106.84,05/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2002209,חשבונית מס כולל מלאי,09/03/2020,4512,לקוח ניסיון,0,לקוח ניסיון,שונות,1865,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,09/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK61.2000069,חשבונית זיכוי,09/03/2020,4512,לקוח ניסיון,0,לקוח ניסיון,שונות,1865,מארז לשימוש יומיומי,N,חומרי ניקוי ,,-1,106.84,ILS,106.8376,0,0,0,-106.84,09/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2002205,חשבונית מס כולל מלאי,09/03/2020,5051219,ניסיון רחלי ניסיון אלקובי,0,לקוח אינטרנט חומרי ניקוי,שירותים,1864,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,09/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK61.2000070,חשבונית זיכוי,09/03/2020,5051219,ניסיון רחלי ניסיון אלקובי,0,לקוח אינטרנט חומרי ניקוי,שירותים,1864,מארז לשימוש יומיומי,N,חומרי ניקוי ,,-1,106.84,ILS,106.8376,0,0,0,-106.84,09/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2002400,חשבונית מס כולל מלאי,16/03/2020,5051219,טלי חלמית,0,לקוח אינטרנט חומרי ניקוי,שונות,1891,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,16/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK61.2000075,חשבונית זיכוי,17/03/2020,5051219,טלי חלמית,0,לקוח אינטרנט חומרי ניקוי,שונות,1891,מארז לשימוש יומיומי,N,חומרי ניקוי ,,-1,106.84,ILS,106.8376,0,0,0,-106.84,16/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2002630,חשבונית מס כולל מלאי,24/03/2020,62,מאיר טל,0,מאיר טל,שונות,1906,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,24/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK61.2000089,חשבונית זיכוי,25/03/2020,62,מאיר טל,0,מאיר טל,שונות,1906,מארז לשימוש יומיומי,N,חומרי ניקוי ,,-1,106.84,ILS,106.8376,0,0,0,-106.84,24/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2002893,חשבונית מס כולל מלאי,01/04/2020,5051219,חנה הניג,0,לקוח אינטרנט חומרי ניקוי,שונות,1921,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,31/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2002892,חשבונית מס כולל מלאי,01/04/2020,5051219,מירי פולק,0,לקוח אינטרנט חומרי ניקוי,שונות,1918,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,31/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003017,חשבונית מס כולל מלאי,05/04/2020,5051219,איזבל אדלר,0,לקוח אינטרנט חומרי ניקוי,שונות,1928,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,03/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003004,חשבונית מס כולל מלאי,05/04/2020,5051219,נתי ברץ,0,לקוח אינטרנט חומרי ניקוי,שונות,1927,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,03/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003018,חשבונית מס כולל מלאי,05/04/2020,5051219,גיל דותן,0,לקוח אינטרנט חומרי ניקוי,שונות,1931,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,04/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003002,חשבונית מס כולל מלאי,05/04/2020,5051219,קובי הורוביץ,0,לקוח אינטרנט חומרי ניקוי,שונות,1929,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,04/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003001,חשבונית מס כולל מלאי,05/04/2020,5051219,לילי עוזיאל,0,לקוח אינטרנט חומרי ניקוי,שונות,1934,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,05/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003142,חשבונית מס כולל מלאי,07/04/2020,5051219,מאיה שנהב,0,לקוח אינטרנט חומרי ניקוי,שונות,1935,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,06/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003206,חשבונית מס כולל מלאי,13/04/2020,5051219,nimrod diskin,0,לקוח אינטרנט חומרי ניקוי,שונות,1946,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,13/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003218,חשבונית מס כולל מלאי,13/04/2020,5051219,רונה חן,0,לקוח אינטרנט חומרי ניקוי,שונות,1947,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,13/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003298,חשבונית מס כולל מלאי,19/04/2020,5051219,הילה טסה,0,לקוח אינטרנט חומרי ניקוי,שונות,1948,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,13/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003303,חשבונית מס כולל מלאי,19/04/2020,5051219,מאיה פלג,0,לקוח אינטרנט חומרי ניקוי,שונות,1949,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,14/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003300,חשבונית מס כולל מלאי,19/04/2020,5051219,אנה קרולינה סוסטס רייזן,0,לקוח אינטרנט חומרי ניקוי,שירותים,1957,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,16/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003297,חשבונית מס כולל מלאי,19/04/2020,5051219,טלי שיין,0,לקוח אינטרנט חומרי ניקוי,שונות,1958,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,18/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003379,חשבונית מס כולל מלאי,21/04/2020,5051219,נועה בירן,0,לקוח אינטרנט חומרי ניקוי,שונות,1959,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,20/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003448,חשבונית מס כולל מלאי,23/04/2020,5051219,נחמה ביאליק,0,לקוח אינטרנט חומרי ניקוי,שונות,1962,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,22/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003536,חשבונית מס כולל מלאי,27/04/2020,5051219,מיטל קרון,0,לקוח אינטרנט חומרי ניקוי,שונות,1963,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,23/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003533,חשבונית מס כולל מלאי,27/04/2020,5051219,צבי זימרן,0,לקוח אינטרנט חומרי ניקוי,שונות,1965,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,26/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003626,חשבונית מס כולל מלאי,03/05/2020,5051219,עידית ברזל,0,לקוח אינטרנט חומרי ניקוי,שונות,1967,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,30/04/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003625,חשבונית מס כולל מלאי,03/05/2020,5051219,אלון רבינוביץ,0,לקוח אינטרנט חומרי ניקוי,שונות,1968,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,01/05/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2003836,חשבונית מס כולל מלאי,06/05/2020,5051219,רן אביטל,0,לקוח אינטרנט חומרי ניקוי,שונות,1969,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,05/05/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2004047,חשבונית מס כולל מלאי,12/05/2020,5051219,לילך שדה,0,לקוח אינטרנט חומרי ניקוי,שונות,1971,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,11/05/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2005216,חשבונית מס כולל מלאי,15/06/2020,5051219,מוטי גוסט,0,לקוח אינטרנט חומרי ניקוי,שונות,1977,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,15/06/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2005582,חשבונית מס כולל מלאי,25/06/2020,5051219,גלית הרמן,0,לקוח אינטרנט חומרי ניקוי,שונות,1979,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,23/06/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-278/143/252-RSC,10DVK52.2006305,חשבונית מס כולל מלאי,16/07/2020,5051219,חגי גרובר,0,לקוח אינטרנט חומרי ניקוי,שונות,1984,מארז לשימוש יומיומי,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,15/07/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
