קוד חשבון,שם,עיר או שכונה,רחוב,טלפון בעבודה,סיווג לקוח,תאריך יצירה
1013002,יעקב גלס-לא פעיל,תל אביב יפו,הגדוד העברי 25,03-5377093,,29/11/2018
1013102,כרמיפלקס ציוד טכני בע,כרמיאל,ת.ד. 268,04-9981137,,29/11/2018
1013105,כרמיפלקס גליל 1989,כרמיאל,א.תעשיה,04-883203,,29/11/2018
1013302,"מיכלול בימ""ס לכלי חיתוך ו",רמת גן,סוקולוב 1 פ. ז'בוטינסקי 1,03-7519024,סוחר,29/11/2018
1013305,מ. כרמי,חיפה,שנקר 7,04-8725006,,29/11/2018
1013306,הספקה טכנית כרמיאל גילעדי,כרמיאל,החרושת 48 תד 148,04-9989195,סוחר,29/11/2018
1013307,"פ.ד. טכניק סנטר בע""מ",הרצליה,שדרות הגלים 27,09-9585222,,29/11/2018
1013313,"משף אספקה טכנית בע""מ",מודיעין,האורג 12 מרכז עינב מרכז י,08-6803854,סוחר,29/11/2018
1013317,מיגוון אספקה לתעשיה,אריאל,"ת""ד 1763 אריאל",03-9365995,,29/11/2018
1013505,סופרגום  יצור מוצרי גומי,תל אביב יפו,תד 57107,03-5622333,תעשיה כימית,29/11/2018
1013506,"מ.סחייק בע""מ",רעננה,החרושת 44א.ת.רעננה,09-7488547,,29/11/2018
1013602,עמית שיווק,עפולה,ההגנה 230 עפולה עילית,04-6523579,,29/11/2018
1013702,פוליניב,ראש העין,מלאכה 18 ראש העין,03-9384258,,29/11/2018
1013703,"פאול ברגידה בע""מ",ירושלים,בית הדפוס 12 גבעת שאול,02-6541955,סוחר,29/11/2018
1013704,חיים סגלוביץ הספקה טכנית,חולון,המשביר 21,03-6826298,סוחר,29/11/2018
1013803,"ציוד אשקלון בע""מ",אשקלון,"צה""ל 4",08-6751481,,29/11/2018
1014001,רשף -לא פעיל,,שד' ההסתדרות 187 מ.חיפה,04-8721292,,29/11/2018
1014101,"יחיאל שזר בע""מ",חיפה,שד' ההסתדרות 182 חיפה,04-8725105,סוחר,29/11/2018
1014102,שיווקית,,"הגדוד העיברי 22ת""א",03-6882057,,29/11/2018
1025104,מכון תערובת קב' יבנה,,,08-8548321,,29/11/2018
110,שמוליק שניידרמן,,,,,16/08/2020
1233,מיון מקדמות מלקוחות,,,,,29/11/2018
1260001,Adrosmart Ingenieria s.a,,,,,30/12/2020
1400000,מפיצים שונים,,,,,29/11/2018
1412002,אוטו דיפו,תל אביב יפו,"דרך פ""ת 46",03-6396979,,29/11/2018
1412300,"מג""ל תעשיות בע""מ",הרצליה,שלונסקי 3,09-9543929,סוחר,29/11/2018
1412301,ישראל גלעד,הרצליה,זמנהוף 28,052-334429,,29/11/2018
1412302,"מגל בע""מ-ע""ח עסקאות",הרצליה,ז'מנהוף 28,052-334429,,29/11/2018
1412306,יחיש שיווק והפצה,קרית אונו,הנשיא 16  תד 17,03-5345785,,29/11/2018
1413952,מבוטל-ר.תעשיות,,"עתיר ידע 21 כפ""ס",,,29/11/2018
1413954,רוטל שיפור סחר-הלוואו,,חיפה,,,29/11/2018
1413958,מבוטל-65,,"עתיר ידע 21 כפ""ס",,,29/11/2018
1420000,חברות קשורות,,,,,29/11/2018
1578345,"אשבר+ בע""מ",תל אביב יפו,הרצל 115,03-5187536,,29/11/2018
1713608,עין חרוד מאוחד רהיטים,עין חרוד מאוחד,ק.,04-6485370,,29/11/2018
2000001,לקוח מחירים בהסכם,,,,,29/11/2018
2000002,לקוח רגיל,,,,,29/11/2018
2012016,"אילור אגש""ח בע""מ",אילות,"קבוץ אילות ד""נ חבל אלות",08-6358601,,29/11/2018
2012101,"אפיקים רכב חשמלי  אגש""ח ב",אפיקים,"ד""נ עמק הירדן",04-6754814,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2012102,E.M.I אייל תעשיות מיקרוגל,אייל,ד.נ השרון התיכון,09-7499100,,29/11/2018
2012103,"ארד בע""מ",דליה,דאר דליה קבוץ דליה,04-9897911,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
2012114,צ.ח.מ אפיקים לא לשימוש,אפיקים,,04-6754811,,29/11/2018
2012202,מטר יציקות אל ברזליות,,"ד""נ גבעת ברנר ק.גבעת בר",08-9443931,,29/11/2018
2012205,אמ.פי.אם מגנטיק פוליש,חיפה,ת.ד 25412,04-8400686,,29/11/2018
2012209,מ.ג.ח. לא לשימוש,גבעת חיים איחוד,קיבוץ גבעת חיים איחוד,04-6369870,,29/11/2018
2012215,"געש לד אגש""ח  בע""מ",געש,,09-9529306,,29/11/2018
2012216,גל-רד,גת,"קיבוץ גלאון ד""נ שדה",08-6872701,,29/11/2018
2012301,דולב מוצרי פלסטיק-אגודה ש,קיבוץ דביר,"ד""נ הנגב קיבוץ דביר",08-9111599,,29/11/2018
2012302,"דגניה סיליקון בע""מ",עמק הירדן,קיבוץ דגניה ב' ע.הירדן,04-6755100,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2012303,דורות מגופי פיקוד ובקרה,דורות,"ד""נ חוף אשקלון",08-6808900,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
2012800,פולסר -לא פעיל,יבנה,ת.ד 421,08-9427750,,29/11/2018
2013002,יפתח - נטפים יפתח,יפתח,"ד""נ מרום הגליל ק.",600942761,,29/11/2018
2013112,"אקווסטיה בע""מ ( א.ר.י )",כפר חרוב,ד.נ. רמת הגולן,04-6761800,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
2013113,"חקוק סטאר בע""מ",תל אביב יפו,שטיבל 6 תד 57339,03-5621685,,29/11/2018
2013114,עינבר פוליאסטר משורין-ראה,חמדיה,"ד""נ עמק בית שאן",04-6589085,,29/11/2018
2013204,תנה תעשיות חברה (1991) בע,אור יהודה,יוני נתניהו 1 ג' תד 602,03-5387676,,29/11/2018
2013614,"עמיעד-מערכות מים בע""מ",עמיעד,קיבוץ עמיעד ד.נ גליל עליו,04-6909500,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
2013618,"פחמס-תעשיות מתכת פלסט בע""",עמק חפר,עין החורש ד.נ. חפר,04-6250200,"תעשית המזון, הפארמה והקוסמטיקה",29/11/2018
2013701,פולירית-ק. זיקים,אשקלון,"ד""נ חוף",051-46419,,29/11/2018
2016699,לאור מערכ' מצברים בעמ,נצרת עילית,העבודה תד 570,04-6571374,,29/11/2018
2023102,הבונים ברזים ומפעלים לתעש,כפר הנשיא,חבל כורזים ק.,04-6914911,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
2023303,מוצרי מעברות,מעברות,קבוץ,09-8984040,,29/11/2018
2023305,קבוץ משמר העמק,משמר העמק,קבוץ משמר העמק,,,29/11/2018
2023403,נען-דן השקיה -לא לשימוש,נען,קיבוץ נען,08-9442111,,29/11/2018
2103302,ד.צ .02540,,"צה""ל",07-9906897,,29/11/2018
2112000,"סופריור כבלים בע""מ",שדרות,חטיבת שער הנגב,706809444,,29/11/2018
2112001,"אלביט מערכות-ל""א וסיגינט-",,"המרכבה 29,    ",03-6175111,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112003,"אלביט מערכות בע""מ",כרמיאל,היוצרים  16 תד 650,04-8315315,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112004,אם.טי.איי. וויירלס,ראש העין,מלאכה 11 ראש העין,03-9008900,,29/11/2018
2112005,"אלקטו גליל בע""מ",קרית שמונה,א.ת צפוני תד 833,04-6951788,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112007,סנמינה -SCI מערכות רפואיו,מעלות תרשיחא,"א""ת תד 102",04-9079222,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112008,אינו-וויב מער' אלחוט,פתח תקוה,השילוח 4,03-9262306,,29/11/2018
2112009,"אודין טכנולוגיות בע""מ",יקנעם עילית,"ת""ד 248",04-9591010,,29/11/2018
2112011,"אזימוט טכנולוגיותבע""מ",רעננה,התעשיה 15 רעננה,09-7604134,,29/11/2018
2112013,"וי.אר.טי פאואר בע""מ",רמת השרון,הנביאים 17,03-5484858,יצרן ציוד ומיכון,29/11/2018
2112014,"אסטרונאוטיקס ק.א בע""מ",פתח תקוה,"מרטין גהל 16 פ""ת תד 3351",03-9251555,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112015,"אלקטרה בע""מ",ראשון לציון,לפי סניפים תד 4455,03-9630293,,29/11/2018
2112017,"אי.סי.אי.טלקום בע""מ",פתח תקוה,הסיבים 30 תד 500,03-9266555,,29/11/2018
2112018,אר.אס.אל. אלקטרוניקה,מגדל העמק,תד 21,04-6547510,,29/11/2018
2112019,"אורביט מערכות תיקשורת בע""",נתניה,הצורן 8 ד'  תד 8657,09-8922777,יצרן ציוד ומיכון,29/11/2018
2112020,אלקטרה תעשיות מיזוג אוויר,ראשון לציון,"ספיר 1 א""ת חדש",073-2220500,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
2112022,"אלקטרה  בע""מ - נס ציונה",נס ציונה,תד 4142,03-9630420,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112023,"כתר פלסטיק בע""מ",כרמיאל,אזור תעשיה,04-9584985,,29/11/2018
2112024,"אורבוטק בע""מ",כנות,"א""ת  תד 215",08-9423533,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112025,אלביט מערכות אבטחה,שדרות,אמסטרדם 4,08-6622347,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112026,מדף תעשיות פלסטיק,אשדוד,א.ת יבנה ת.ד12773.,08-8527755,,29/11/2018
2112027,יונתן בראור עיצוב תעש,פרדס חנה כרכור,דרך השדה 224 תד 1331,04-6378014,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112029,"אלטק  בע""מ",פתח תקוה,תד 159,03-9395050,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112030,"אנרקון אריאל בע""מ- לא לשי",אריאל,"הענבר 7 א""ת  ברקן תד 20",03-9077077,,29/11/2018
2112031,מיקרומוד,,מפעלי גרנות ד.נ עמק חפר,066-321106,,29/11/2018
2112032,"זיק סנסורס בע""מ",,בית להדים רחוב הבזלת 4 א.ת,09-9711011,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112033,"אלקטרה תשתיות אנרגיה בע""מ",נתניה,האומנות 12 המשרדים במס' 4,09-8630888,אנרגיה,29/11/2018
2112034,אמטק,משגב דב,תד221,08-594361,,29/11/2018
2112035,אנ. סי. אי.,,המלאכה 13א.ת אור-יהודה,03-5336815,,29/11/2018
2112036,"רובוגרופ ט.א.ק בע""מ",ראש העין,המלאכה 13,03-9004111,,29/11/2018
2112037,"אכסקליבור סיסטמס בע""מ",ירושלים,בית הדפוס 22 ירושלים,02-6541050,,29/11/2018
2112041,"אלמו הנע מבוקר בע""מ",פתח תקוה,עמל 60 תד 463,03-9292300,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112043,"אלסינטק מע' בע""מ",חיפה,"מת""מ",04-8131415,,29/11/2018
2112044,"קבוצת ניסקו בע""מ-ארדן שנאים",א.ת ציפורית,רח' הסדנא 10 א.ת ציפורית,04-6328888,יצרן ציוד ומיכון,29/11/2018
2112046,"אינסיס בע""מ",כרמיאל,"ת""ד 6314",04-9883244,,29/11/2018
2112048,"אי.וי.אר תקשורת בע""מ",עתלית,נרקיסים 78,04-6546233,,29/11/2018
2112049,אמ.אף.אס M.F.S,תל אביב יפו,צ'לנוב 4,03-380541,,29/11/2018
2112051,קוריג'נט,תל אביב יפו,"יגאל אלון 126ת""א",03-6952727,,29/11/2018
2112052,אר.אייץ' (R.H)אלקטרוניקה,נצרת עילית,המעין 6  תד 740 1710602,04-6089000,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112053,"אס.איי תעשיות בע""מ",קיסריה,תד 3004,04-6273070,,29/11/2018
2112054,אטנטי אלקטרוניק מוניטורינ,תל אביב יפו,תד 13236,03-7671800,,29/11/2018
2112055,"אימקו פרויקטים בע""מ",נשר,התעשיה 8 תל חנן תד 189,04-8213322,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112056,מוקד מכשירים מדויקים,משגב,צאלון  פ. תעש' בר לב ד.נ.,04-8729747,,29/11/2018
2112058,"אורם ספקי כח בע""מ",לוד,"ת""ד 126",08-9224591,,29/11/2018
2112060,רד התקני רשתות בעמ,,עתידים בנין 1 תל-אביב,03-6458555,,29/11/2018
2112061,אי.אר.אם אלקטרוניקס,ראשון לציון,שפירא חיים 16,03-9413313,,29/11/2018
2112062,אפרת טכנוNETCOMVERSE,תל אביב יפו,הברזל  29,03-6452222,,29/11/2018
2112064,אס.אם.אס (I.R.T),תל אביב יפו,הברזל 24,03-6499199,,29/11/2018
2112066,אוויאוניטק,טירת כרמל,רח' אתגר 1,04-8577207,,29/11/2018
2112067,"איי.אם אס אלקטרוניקה בע""מ",ראש העין,העמל 14 פארק אפק,03-9011184,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112072,ניכאסט NICAST,,א.ת דרומי קיסריה ת.3073,04-6373131,,29/11/2018
2112101,ברק כח,חולון,הבנאי 19,03-5596093,,29/11/2018
2112102,ברן טכנולוגיות מתקדמות(19,עומר,תד 3005,073-2511020,,29/11/2018
2112103,ביו-ראד לבורטוריס (ישראל),ראשון לציון,החומה 14   תד 5044,03-9636000,,29/11/2018
2112104,"בורסוק  בע""מ- לא לשימוש",יבנה,א.ת צפוני  תד 117,08-9323666,,29/11/2018
2112106,נורטל נטוורקס,,"ראול ולנברג 24 ת""א",03-6455300,,29/11/2018
2112107,בזק חוטמן סחר ואחזקות,,"גיסין 76 ק.אריה פ""ת",050-559623,,29/11/2018
2112108,"בינום בע""מ",רחובות,פארק מדע ק.ויצמן,08-9387739,,29/11/2018
2112109,"בינת יישום מערכות בע""",תל אביב יפו,ראול ולנברג 24 רמת החייל,03-6466333,,29/11/2018
2112110,בי.וי.אר. מע' (1998),ראש העין,המלאכה 16,03-9008000,,29/11/2018
2112111,"ברטל טק בע""מ",רעים,מחסן קבלה - קיבוץ  תד 125,073-2325218,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112121,"איזי יוגב תעשיות בע""מ",בית שאן,"א""ת הצפוני בית שאן",04-6581596,,29/11/2018
2112202,"גלאי ייצור  בע""מ",,ת.ד. 221א.ת. מגדל העמק,06-543369,,29/11/2018
2112203,"ג'נרל אינסטרומנט בע""מ",תל אביב יפו,רח' הפטמן 3 תל-אביב,03-258725,,29/11/2018
2112204,"גלטרוניקס  בע""מ",טבריה,.ת פוריה תד 1598,04-6739770,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112205,גלקום,,"א""ת ברקן בית 19",03-9364144,,29/11/2018
2112206,גל-אופ,ירושלים,השחל 63,02-787881,,29/11/2018
2112207,"ג'ינטק אקטיב סייפטי בע""מ",כרמיאל,היוצרים 16 תד 448,04-9999800,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112208,"ג.ט. גבעסול טכנולוגיות בע""מ",,,09-7662003,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112209,ג'אוטק,יקנעם עילית,"ת""ד 180",04-9590386,,29/11/2018
2112210,גלאור מפעלי תאורה,,המרכבה 25 חולון,03-5597333,,29/11/2018
2112211,ג.את.ט. מפעלי מתכת,,דרך שלמה 94 תל-אביב,03-5181480,,29/11/2018
2112212,גמאטרוניק תעשיות אלק'-לא פעיל,,ק. תע' עתירות מעד ירושל,02-5888222,,29/11/2018
2112401,"דגם מערכות אחזקות  בע""מ",ראש העין,מלאכה 16 פארק אפק,03-9002358,,29/11/2018
2112402,קומפאק מחשבים (ישראל),הרצליה,צומת אכדיה,052-548222,,29/11/2018
2112403,דיגיטרוניקס ישראל בעמ,הרצליה,גגלגלי הפלדה 25,052-559615,,29/11/2018
2112404,די.פי.אי. מערכות,,"הברזל 28 רמת החיל ת""א",03-473773,,29/11/2018
2112405,דייל ישראל תעשיות אלק,דימונה,"ת""ד 87",057-554721,,29/11/2018
2112406,דיג,,"א""ת מערבי בית שמש תד285",02-9914851,,29/11/2018
2112410,"דלק חשמלי בע""מ",בית שמש,"א""ת מערבי תד 641",02-9906666,,29/11/2018
2112501,הוריזון אלקטרוניקה,פתח תקוה,בזל 3  קרית אריה,03-9230091,,29/11/2018
2112502,הנדסת הספק,אור יהודה,החרושת 24,03-5334855,,29/11/2018
2112503,"הנעה חשמלית בע""מ",,ת.ד. 4326 ראשון לציון,03-9612032,,29/11/2018
2112504,היי. ג'י. טק - לא לשימוש,אור יהודה,החרושת 16,03-5339359,,29/11/2018
2112505,אס.סי.די התקני מצב מוצק,משגב,תד 2250,04-9902676,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112602,"ויסוניק בע""מ",תל אביב יפו,הברזל 24 תד 22020,03-6456789,,29/11/2018
2112603,"ווישי ישראל בע""מ",חולון,האופן 2,03-5570888,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112604,ורטיגו,,בית מס' 5 מושב גנות,03-9604167,,29/11/2018
2112605,ויזקום,,המרפא 8ב' הר החוצבים ים,02-5328222,,29/11/2018
2112606,"ווקלטק תקשורת בע""מ",הרצליה,משכית 1,09-9707777,,29/11/2018
2112803,חץ הכסף **ראה  6405,נס ציונה,תד 4093,08-9306111,,29/11/2018
2112900,"טלרד בע""מ",מעלות,ת.ד. 155 מעלות תד 155,04-976715,,29/11/2018
2112901,"טלרד נטוורקס בע""מ",לוד,בת שבע 4 תד 228,073-246746,,29/11/2018
2112902,"טלכור בע""מ",נתניה,"גיבורי ישראל א""ת",09-8632320,,29/11/2018
2112903,"טלמניע בע""מ",חולון,הנפח 11,03-804010,,29/11/2018
2112904,טאוור סמיקונדקטור,מגדל העמק,תד 619,04-6506611,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2112906,טיפה טכנולוגיה,שלומי,"ת""ד 55  שלומי תד 55",04-9808080,,29/11/2018
2112907,טריקום  3COM,,"שנקר 5 א""ת הרצליה ק""ב",09-9707123,,29/11/2018
2112908,טטרה,חולון,הצורף 5,03-5562775,,29/11/2018
2112909,אי.די.סי (טלה דטה),הרצליה,הסדנאות 10,09-9591846,,29/11/2018
2112910,"טנסור מערכות בע""מ",נתניה,האומנות 1,09-656990,,29/11/2018
2112911,טרנסטק קונטרול,הרצליה,משכית 8  בנין A,09-9526838,,29/11/2018
2112912,טקטיום,,יד חרוצים 14 תל-אביב,03-6397293,,29/11/2018
2113001,"ישראליפט בע""מ",בני ברק,הקישון 31,03-5792626,,29/11/2018
2113002,יורוקום תקשורת סלולרי,תל אביב יפו,מנורת המאור 3 נחלת יצחק,09-8853922,,29/11/2018
2113003,יו.אס.אר מערכות אלקטרוני,כרמיאל,תד 1012,04-9904000,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2113101,כור תקשורת,,"ת""ד 13022 תל-אביב",013-5483310,,29/11/2018
2113202,לורדן מחליפי חום,אור עקיבא,"ת""ד 51",600360758,,29/11/2018
2113205,לקט תעשיות,,פלוטצקי 22 ראשון לציון,03-9657676,,29/11/2018
2113207,לייזר קום,,רח' הברזל 21 רמת החייל,03-7671700,,29/11/2018
2113301,מגמא תעשיית מתכת,בית שאן,"קבוץ גשר-ד""נ",600752472,,29/11/2018
2113302,"מוטורולה תקשורת ישראל בע""",לוד,תד 155,03-9033938,,29/11/2018
2113303,אומגה אודיו (מוראל(,חולון,"הבנאי 19 א""ת חולון",03-5568025,,29/11/2018
2113305,"מיטרוניקס בע""מ",יזרעאל,ד.נ. יזרעאל,04-6598111,יצרן ציוד ומיכון,29/11/2018
2113306,"מיקרואלקטרוניקס בע""מ",,תד 12353,08-9327365,,29/11/2018
2113307,"מערכות רשף בע""מ",חיפה,ת.ד. 10282,04-410919,,29/11/2018
2113308,מ.מ. אלקטרוניקס,,"היוזמים 6 א""ת אור יהודה",03-5335483,,29/11/2018
2113309,מטס תעשיות ומחקר כרמיאל ב,כרמיאל,תד 232,04-9987772,תעשיית הרכבת והאוויר,29/11/2018
2113310,"מחסום בע""מ",,"ת""ד 567 רעננה",09-7416552,,29/11/2018
2113312,"מיל מגופי ענבל בע""מ",ראשון לציון,פלוטיצקי 5 תד 15200,03-9482020,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",29/11/2018
2113313,"מאזני שקל 2008 בע""מ",בית קשת,ד.נ. גליל תחתון,04-6629100,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2113314,מדעי הספק,,אופנהיימר 5 רחובות,08-9361111,,29/11/2018
2113317,"ח. מר תעשיות בע""מ",חולון,הצורף 5,03-5572555,,29/11/2018
2113320,מלי מדע,,לבנדה 16 תל-אביב,03-6882792,,29/11/2018
2113321,מוטוטק,,אברבנל 59 תל-אביב,03-6811835,,29/11/2018
2113323,מרס אנטנות ומערכות RF בעמ,חולון,המנור 3,03-5599661,,29/11/2018
2113324,"מיטב טק בע""מ",ראשון לציון,תד 5221,03-9626462,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2113325,מיקרו-לא פעיל,כרמיאל,פארק התעשיה,04-9884888,,29/11/2018
2113402,נשיונל סמיקונדקטור בע,הרצליה,הסדנאות 8,09-9702340,,29/11/2018
2113403,נורת היל- NORTH HILLS,יקנעם עילית,"ת""ד 1280",04-892902,,29/11/2018
2113405,"נאנוניקס אימג'ינג בע""מ",ירושלים,הרטום 19 בית בינת הר חוצב,02-6789573,,29/11/2018
2113501,"ספקטרוניקס בע""מ",שדרות,קילת מילנו 8 תד 8,08-6875444,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2113502,"קראו אי.אל בע""מ",הרצליה,תד 330,09-9597444,,29/11/2018
2113504,"סי.אי.סיסטמס-ישראל בע""מ",מגדל העמק,תד 147,04-6448888,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2113505,"סופקו אינטרנשיונל בע""מ",נתניה,תד 8047,09-8654101,,29/11/2018
2113506,"סייטק בע""מ",ירושלים,רחוב זאב לב 25 הר חוצבים ,02-5411000,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/11/2018
2113507,סלטרוניקס,,"עתידים בנין 12 ת""א",03-6485396,,29/11/2018
2113508,סינון,,שנקר 13 ק.אריה פתח תקוה,03-9240789,,29/11/2018
2113509,סימטק,,"המרכבה 29 ת""ד 150 חולון",03-5577469,,29/11/2018
2113510,סי. טי.,ראשון לציון,בן צבי 23,03-9611985,,29/11/2018
2113511,סאניו,,הצפירה 18 תל-אביב,03-5377660,,29/11/2018
2113512,"סילקום בע""מ",כפר סבא,הנגר 8,09-7678910,,29/11/2018
2113515,סים.טיי.אס,נתניה,,09-8826643,,29/11/2018
2113516,"סאנלייט מדיקל בע""מ",תל אביב יפו,תד 22252,03-5620606,,29/11/2018
2113518,"סולרום אלקטרוניקה בע""מ",ראש פינה,צ ח.ר פארק תעשיות תד 619,04-6930231,,29/11/2018
2113519,סי-ברידג',הוד השרון,"האנגר 3 א""ת נ.נאמן",09-7751111,,29/11/2018
2113520,סי.פי.סי  היי-טכנולוגיות,יקנעם מושבה,א.תעשיה תד 516,04-9939300,,29/11/2018
2113521,"סופר דיימנשן בע""מ",הרצליה,תד 2045,09-9713700,,29/11/2018
2113650,"עשות אשקלון תעשיות בע""מ",אשקלון,עזרא יסודי 21 תד 21,08-6721585,עיבוד מתכת ,29/11/2018
2113652,אדי תעשיות אלקטרוניות,נס ציונה,החרש 17 נס-ציונה,08-9405199,,29/11/2018
2113701,"פיברוניקס בע""מ",חיפה,ת.ד. 1797,04-313313,,29/11/2018
2113704,פי.אס אנרטרוניקס,,"הצורף 5 ת""ד 1781 חולון",03-5570444,,29/11/2018
2113706,"פייטון פלאנר מגנטיקס בע""מ",נס ציונה,העבודה 3,03-9616601,יצרן ציוד ומיכון,29/11/2018
