קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט,
RGN-901,10DVK52.1904532,חשבונית מס כולל מלאי,26/05/2019,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO19K01271,פקדון,25L,חומרי ניקוי ,,5,35,ILS,35,0,0,0,175,21/05/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,24
RGN-901,10DVK52.1909874,חשבונית מס כולל מלאי,17/11/2019,5013303,מכון ויצמן למדע,,מכון ויצמן למדע,שירותים,11902336,פקדון,25L,חומרי ניקוי ,,1,35,ILS,35,0,0,0,35,26/11/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,482
RGN-901,10DVK52.1905467,חשבונית מס כולל מלאי,23/06/2019,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO19K01542,פקדון,25L,חומרי ניקוי ,,8,35,ILS,35,0,0,0,280,19/06/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,25
RGN-999,10DVK52.1900274,חשבונית מס כולל מלאי,09/01/2019,5041395,פרוטאה כימיקליים בנלאומי,2790500 ,פרוטאה כימיקליים בנלאומי,סוחר,07/01/2019,פקדון,25L,חומרי ניקוי ,,2,35,ILS,35,0,0,0,70,07/01/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,305
RGN-999,10DVK52.1900332,חשבונית מס כולל מלאי,10/01/2019,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO19K00050,פקדון,25L,חומרי ניקוי ,,10,35,ILS,35,0,0,0,350,09/01/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,26
RGN-999,10DVK52.1900635,חשבונית מס כולל מלאי,21/01/2019,5120081,"אוריס ק.ס תעשיות בע""מ",7570305,"אוריס ק.ס תעשיות בע""מ",יצרן ציוד ומיכון,78234,פקדון,25L,חומרי ניקוי ,,5,35,ILS,35,0,0,0,175,17/01/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,81
RGN-999,10DVK52.1901007,חשבונית מס כולל מלאי,03/02/2019,5120081,"אוריס ק.ס תעשיות בע""מ",7570305,"אוריס ק.ס תעשיות בע""מ",יצרן ציוד ומיכון,78272,פקדון,25L,חומרי ניקוי ,,5,35,ILS,35,0,0,0,175,03/02/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,82
RGN-999,10DVK52.1901927,חשבונית מס כולל מלאי,03/03/2019,5120081,"אוריס ק.ס תעשיות בע""מ",7570305,"אוריס ק.ס תעשיות בע""מ",יצרן ציוד ומיכון,78273,פקדון,25L,חומרי ניקוי ,,7,35,ILS,35,0,0,0,245,03/03/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,83
RGN-999,10DVK52.1902940,חשבונית מס כולל מלאי,02/04/2019,5120081,"אוריס ק.ס תעשיות בע""מ",7570305,"אוריס ק.ס תעשיות בע""מ",יצרן ציוד ומיכון,78740,פקדון,25L,חומרי ניקוי ,,7,35,ILS,35,0,0,0,245,01/04/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,84
RGN-999,10DVK52.1903355,חשבונית מס כולל מלאי,15/04/2019,5041395,פרוטאה כימיקליים בנלאומי,2790500 ,פרוטאה כימיקליים בנלאומי,סוחר,14/04/2019,פקדון,25L,חומרי ניקוי ,,1,35,ILS,35,0,0,0,35,14/04/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,306
RGN-999,10DVK52.1903725,חשבונית מס כולל מלאי,01/05/2019,5120081,"אוריס ק.ס תעשיות בע""מ",7570305,"אוריס ק.ס תעשיות בע""מ",יצרן ציוד ומיכון,79026,פקדון,25L,חומרי ניקוי ,,10,35,ILS,35,0,0,0,350,01/05/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,85
RGN-999,10DVK52.1904343,חשבונית מס כולל מלאי,20/05/2019,5140953,גרין איט,6473104 ,גרין איט,סוחר,19/05/2019,פקדון,25L,חומרי ניקוי ,,1,35,ILS,35,0,0,0,35,19/05/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,307
RGN-999,10DVK52.1904343,חשבונית מס כולל מלאי,20/05/2019,5140953,גרין איט,6473104 ,גרין איט,סוחר,19/05/2019,פקדון,25L,חומרי ניקוי ,,1,35,ILS,35,0,0,0,35,19/05/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,308
RGN-999,10DVK52.1905736,חשבונית מס כולל מלאי,01/07/2019,5122222,מעלה הכרמל מרכז רפואי לבר,3092706 ,מעלה הכרמל מרכז רפואי לבריאות הנפש,שירותים,20177279,פקדון,25L,חומרי ניקוי ,,1,30,ILS,35,14.2857,0,5,30,01/07/2019,"רוטל דבקים וכימיקלים בע""מ",זיו פחימפור,3,2042,חמרי ניקוי,483
RGN-999,10DVK52.1906044,חשבונית מס כולל מלאי,09/07/2019,5122222,מעלה הכרמל מרכז רפואי לבר,3092706 ,מעלה הכרמל מרכז רפואי לבריאות הנפש,שירותים,20177267,פקדון,25L,חומרי ניקוי ,,2,30,ILS,35,14.2857,0,10,60,08/07/2019,"רוטל דבקים וכימיקלים בע""מ",זיו פחימפור,3,2042,חמרי ניקוי,484
RGN-999,10DVK52.1906128,חשבונית מס כולל מלאי,11/07/2019,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO19K01748,פקדון,25L,חומרי ניקוי , ,10,35,ILS,35,0,0,0,350,10/07/2019,"רוטל דבקים וכימיקלים בע""מ",ציון רון,3,2042,חמרי ניקוי,27
RGN-999,10DVK52.1906774,חשבונית מס כולל מלאי,04/08/2019,5025753,"יקבי רמת הגולן בע""מ",,"יקבי רמת הגולן בע""מ","תעשית המזון, הפארמה והקוסמטיקה",YL040819A,פקדון,25L,חומרי ניקוי ,98008,1,35,ILS,35,0,0,0,35,04/08/2019,"רוטל דבקים וכימיקלים בע""מ",יוסי לביא,3,2042,חמרי ניקוי,686
RGN-999,10DVK52.1907970,חשבונית מס כולל מלאי,09/09/2019,5041395,פרוטאה כימיקליים בנלאומי,2790500 ,פרוטאה כימיקליים בנלאומי,סוחר,08/09/2019,פקדון,25L,חומרי ניקוי ,,2,35,ILS,35,0,0,0,70,08/09/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,309
RGN-999,10DVK52.1908113,חשבונית מס כולל מלאי,12/09/2019,5041395,פרוטאה כימיקליים בנלאומי,2790500 ,פרוטאה כימיקליים בנלאומי,סוחר,08/09/2019,פקדון,25L,חומרי ניקוי ,,4,35,ILS,35,0,0,0,140,08/09/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,310
RGN-999,10DVK52.1908690,חשבונית מס כולל מלאי,03/10/2019,5140953,גרין איט,6473104 ,גרין איט,סוחר,03/10/2019,פקדון,25L,חומרי ניקוי ,,1,35,ILS,35,0,0,0,35,03/10/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,311
RGN-999,10DVK52.1910083,חשבונית מס כולל מלאי,21/11/2019,5051150,"מילופרי אגש""ח בע""מ",,"מילופרי אגש""ח בע""מ","תעשית המזון, הפארמה והקוסמטיקה",PO19000923,פקדון,25L,חומרי ניקוי ,42001005,1,35,ILS,35,0,0,0,35,21/11/2019,"רוטל דבקים וכימיקלים בע""מ",גיא חן ,3,2042,חמרי ניקוי,687
RGN-999,10DVK52.1910342,חשבונית מס כולל מלאי,01/12/2019,5041395,פרוטאה כימיקליים בנלאומי,2790500 ,פרוטאה כימיקליים בנלאומי,סוחר,26/11/2019,פקדון,25L,חומרי ניקוי ,,4,35,ILS,35,0,0,0,140,26/11/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,313
RGN-999,10DVK52.1910284,חשבונית מס כולל מלאי,01/12/2019,5140953,גרין איט,6473104 ,גרין איט,סוחר,28/11/2019,פקדון,25L,חומרי ניקוי ,,4,35,ILS,35,0,0,0,140,01/12/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,312
GLG-P-L02,10DVK52.1904343,חשבונית מס כולל מלאי,20/05/2019,5140953,גרין איט,6473104 ,גרין איט,סוחר,19/05/2019,פקק כובע+ברז לג'ריקן 25 ליטר,25L,חומרי ניקוי ,,1,35,ILS,35,0,0,0,35,19/05/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,186
GLG-P-L02,10DVK52.1910284,חשבונית מס כולל מלאי,01/12/2019,5140953,גרין איט,6473104 ,גרין איט,סוחר,28/11/2019,פקק כובע+ברז לג'ריקן 25 ליטר,25L,חומרי ניקוי ,,5,35,ILS,35,0,0,0,175,01/12/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,187
RGN-6011LS-M2-5L,10DVK52.1900632,חשבונית מס כולל מלאי,21/01/2019,1000000,"עו""ד קיבורק נלבנדיאן",,לקוחות שונים,שירותים,17.1.19,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,,1,60,ILS,60,0,0,0,60,17/01/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,982
RGN-6011-Y10-750ML,10DVK52.1900501,חשבונית מס כולל מלאי,16/01/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6178,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,ZZ100,40,12.1,ILS,12.1,0,0,0,484,31/12/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,238
RGN-6011-Y10-5L,10DVK52.1900438,חשבונית מס כולל מלאי,14/01/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6177,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,,10,33,ILS,33,0,0,0,330,06/01/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,232
RGN-6011-Y10-5L,10DVK52.1902131,חשבונית מס כולל מלאי,06/03/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6255,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,zz114,30,33,ILS,33,0,0,0,990,28/02/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,233
RGN-6011-Y10-750ML,10DVK52.1902131,חשבונית מס כולל מלאי,06/03/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6255,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,ZZ100,240,12.1,ILS,12.1,0,0,0,2904,28/02/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,239
RGN-6011-Y10-5L,10DVK52.1903526,חשבונית מס כולל מלאי,21/04/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6329,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,zz114,30,33,ILS,33,0,0,0,990,11/04/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,234
RGN-6011-Y10-750ML,10DVK52.1903526,חשבונית מס כולל מלאי,21/04/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6329,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,ZZ100,240,12.1,ILS,12.1,0,0,0,2904,11/04/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,240
RGN-6011-Y10-5L,10DVK52.1905248,חשבונית מס כולל מלאי,16/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6399,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,zz114,50,33,ILS,33,0,0,0,1650,10/06/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,235
RGN-6011-Y10-750ML,10DVK52.1905248,חשבונית מס כולל מלאי,16/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6399,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,ZZ100,288,10.3,ILS,10.3,0,0,0,2966.4,10/06/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,241
RGN-6011-Y10-750ML,10DVK52.1905352,חשבונית מס כולל מלאי,18/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6399,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,ZZ100,192,10.3,ILS,10.3,0,0,0,1977.6,10/06/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,242
RGN-6011-Y10-750ML,10DVK52.1907423,חשבונית מס כולל מלאי,22/08/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6470,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,ZZ100,80,10.3,ILS,10.3,0,0,0,824,22/07/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,243
RGN-6011-Y10-5L,10DVK52.1907369,חשבונית מס כולל מלאי,21/08/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6498,מסיר שומנים,Delicate fragrance,חומרי ניקוי ,zz114,60,33,ILS,33,0,0,0,1980,07/08/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,236
RGN-6011-Y10-750ML,10DVK52.1908377,חשבונית מס כולל מלאי,23/09/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6558,מסיר שומנים מרוכז,Delicate fragrance,חומרי ניקוי ,ZZ100,120,10.3,ILS,10.3,0,0,0,1236,15/09/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,244
RGN-6011-Y10-750ML,10DVK52.1908789,חשבונית מס כולל מלאי,10/10/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6558,מסיר שומנים מרוכז,Delicate fragrance,חומרי ניקוי ,ZZ100,360,10.3,ILS,10.3,0,0,0,3708,15/09/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,245
RGN-6011-Y10-5L,10DVK52.1909855,חשבונית מס כולל מלאי,17/11/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6622,מסיר שומנים מרוכז,Delicate fragrance,חומרי ניקוי ,zz114,30,33,ILS,33,0,0,0,990,10/11/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,237
RGN-3312CG-750ML,10DVK52.1900501,חשבונית מס כולל מלאי,16/01/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6178,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ101,40,8.17,ILS,14,41.6429,0,233.2,326.8,31/12/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,198
RGN-3312CG-5L,10DVK52.1900438,חשבונית מס כולל מלאי,14/01/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6177,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ116,10,32.51,ILS,67,51.4776,0,344.9,325.1,06/01/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,195
RGN-3312CG-750ML,10DVK52.1902130,חשבונית מס כולל מלאי,06/03/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6261,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,zz101,45,8.17,ILS,14,41.6429,0,262.35,367.65,05/03/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,199
RGN-3312CG-750ML,10DVK52.1905247,חשבונית מס כולל מלאי,16/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6261,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,zz101,45,8.17,ILS,14,41.6429,0,262.35,367.65,05/03/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,200
RGN-3312CG-750ML,10DVK52.1905247,חשבונית מס כולל מלאי,16/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6261,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,zz101,45,8.17,ILS,14,41.6429,0,262.35,367.65,05/03/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,201
RGN-3312CG-750ML,10DVK61.1900132,חשבונית זיכוי,16/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6261,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,zz101,-45,8.17,ILS,14,41.6429,0,262.35,-367.65,05/03/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,202
RGN-3312CG-750ML,10DVK61.1900132,חשבונית זיכוי,16/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6261,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,zz101,-45,8.17,ILS,14,41.6429,0,262.35,-367.65,05/03/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,203
RGN-3312CG-5L,10DVK52.1903526,חשבונית מס כולל מלאי,21/04/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6329,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ116,15,32.51,ILS,67,51.4776,0,517.35,487.65,11/04/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,196
RGN-3312CG-750ML,10DVK52.1905352,חשבונית מס כולל מלאי,18/06/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6399,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ101,96,8.17,ILS,14,41.6429,0,559.68,784.32,10/06/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,204
RGN-3312CG-750ML,10DVK52.1907423,חשבונית מס כולל מלאי,22/08/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6470,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ101,40,8.17,ILS,14,41.6429,0,233.2,326.8,22/07/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,206
RGN-3312CG-5L,10DVK52.1907369,חשבונית מס כולל מלאי,21/08/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6498,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ116,15,32.51,ILS,70,53.5571,0,562.35,487.65,07/08/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,197
RGN-3312CG-750ML,10DVK52.1907369,חשבונית מס כולל מלאי,21/08/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6498,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ101,96,8.17,ILS,21,61.0952,0,1231.68,784.32,07/08/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,205
RGN-3312CG-750ML,10DVK52.1909855,חשבונית מס כולל מלאי,17/11/2019,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,6622,ממיס ומסיר אבנית,Delicate scent,חומרי ניקוי ,ZZ101,96,8.17,ILS,21,61.0952,0,1231.68,784.32,10/11/2019,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי,207
