קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט,מסד
RGN-3313-5L,FIN.13/003438,חשבונית מס כולל מלאי,02/10/2018,5120402,החברה המרכזית להפצת משקאו,8258306,החברה המרכזית להפצת משקאו,"תעשית המזון, הפארמה והקוסמטיקה",3527343,אקונומיקה אקולוגית,N,,,3,52,ILS,67,0,0,0,156,16/09/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,685
RGN-3313-5L,FIN.13/003450,חשבונית מס כולל מלאי,11/11/2018,5120402,החברה המרכזית להפצת משקאו,8258306,החברה המרכזית להפצת משקאו,"תעשית המזון, הפארמה והקוסמטיקה",3533197,אקונומיקה אקולוגית,N,,,10,52,ILS,67,0,0,0,520,06/11/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,686
GLG-3313-20100001-5L,FIN.11/020716,חשבונית מס כולל מלאי,26/11/2018,5042039,עוצמה שיווק מוצרי צריכה ב,9123101,עוצמה שיווק מוצרי צריכה ב,סוחר,8039,אקונומיקה אקולוגית,N,,,60,40,ILS,0,0,0,0,2400,19/11/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,102
GLG-6011-23010400-25L,FIN.11/010564,חשבונית מס כולל מלאי,01/01/2018,5041151,נובל אנרג'י ע.מ. מתן ומיכ,,נובל אנרג'י ע.מ. מתן ומיכל,אנרגיה,20213420,ממיס ומנקה שומנים תעשייתיים,N,,,10,390,ILS,540,0,0,0,3900,21/12/2017,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,328
GLG-6011-23010400-25L,FIN.11/011463,חשבונית מס כולל מלאי,01/02/2018,50312169,תחנת כח דוראד חברת אזום,,"חברת אזום בע""מ- תחנת כח",אנרגיה,8684,ממיס ומנקה שומנים תעשייתיים,N,,,1,320,ILS,540,0,0,0,320,15/01/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,339
GLG-6011-23010400-25L,FIN.11/012510,חשבונית מס כולל מלאי,04/03/2018,50312169,תחנת כח דוראד חברת אזום,,"חברת אזום בע""מ- תחנת כח",אנרגיה,8956,ממיס ומנקה שומנים תעשייתיים,N,,MECH-SUP,1,353,ILS,540,0,0,0,353,01/03/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,353
GLG-6011-10000400-200L,FIN.11/012929,חשבונית מס כולל מלאי,18/03/2018,5041729,גרין בי אנרגיה ירוקה לשיר,,גרין בי אנרגיה ירוקה לשיר,אנרגיה,14.03.18,ממיס ומנקה שומנים תעשייתיים,N,,,1,1750,ILS,4080,0,0,0,1750,14/03/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,240
GLG-6011-23010400-25L,FIN.11/017692,חשבונית מס כולל מלאי,15/08/2018,50312169,"חברת אזום בע""מ- תחנת כח",7745255,"חברת אזום בע""מ- תחנת כח",אנרגיה,10045,ממיס ומנקה שומנים תעשייתיים,N,,MECH-SUP,4,320,ILS,540,0,0,0,1280,14/08/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,414
GLG-6011-23010400-25L,FIN.11/019854,חשבונית מס כולל מלאי,01/11/2018,50312169,"חברת אזום בע""מ- תחנת כח",7745255,"חברת אזום בע""מ- תחנת כח",אנרגיה,10525,ממיס ומנקה שומנים תעשייתיים,N,,13723,4,320,ILS,540,0,0,0,1280,31/10/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,435
GLG-6011-23010400-25L,FIN.11/011933,חשבונית מס כולל מלאי,14/02/2018,2513302,"אדמה מכתשים בע""מ",,"אדמה מכתשים בע""מ","בטון, גבס ודשנים",R98472,ממיס ומנקה שומנים תעשייתיים,N,,,2,330,ILS,540,0,0,0,660,12/02/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,344
GLG-6011-23010400-25L,FIN.12/005555,חשבונית זיכוי,24/07/2018,2513302,"אדמה מכתשים בע""מ",,"אדמה מכתשים בע""מ","בטון, גבס ודשנים",R98472,ממיס ומנקה שומנים תעשייתיים,N,,,2,330,ILS,540,0,0,0,-660,12/02/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,454
GLG-6011-23010400-25L,FIN.11/012116,חשבונית מס כולל מלאי,20/02/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K00465,ממיס ומנקה שומנים תעשייתיים,N,,,10,270,ILS,540,0,0,0,2700,18/02/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,346
GLG-6011-23010400-25L,FIN.11/013526,חשבונית מס כולל מלאי,09/04/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K00891,ממיס ומנקה שומנים תעשייתיים,N,,,10,270,ILS,540,0,0,0,2700,08/04/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,369
GLG-6011-23010400-25L,FIN.11/015273,חשבונית מס כולל מלאי,03/06/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K01329,ממיס ומנקה שומנים תעשייתיים,N,,,10,270,ILS,540,0,0,0,2700,28/05/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,389
GLG-6011-23010400-25L,FIN.11/016725,חשבונית מס כולל מלאי,16/07/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K01717,ממיס ומנקה שומנים תעשייתיים,N,,,10,270,ILS,540,0,0,0,2700,15/07/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,405
GLG-6011-23010400-25L,FIN.11/017588,חשבונית מס כולל מלאי,13/08/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K01939,ממיס ומנקה שומנים תעשייתיים,N,,,10,270,ILS,540,0,0,0,2700,12/08/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,412
GLG-6011-23010400-25L,FIN.11/019291,חשבונית מס כולל מלאי,14/10/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K02451,ממיס ומנקה שומנים תעשייתיים,N,,,10,270,ILS,540,0,0,0,2700,14/10/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,428
GLG-6011-10000400-200L,FIN.11/020225,חשבונית מס כולל מלאי,12/11/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K02691,ממיס ומנקה שומנים תעשייתיים,N,,OI-RGN-6011-200L,1,2160,ILS,4080,0,0,0,2160,08/11/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,247
GLG-6011-23010400-25L,FIN.11/020782,חשבונית מס כולל מלאי,28/11/2018,5041086,"תעבורה אחזקות בע""מ חטיבת",7252901 ,"תעבורה אחזקות בע""מ חטיבת",יצרן לתעשיית הרכב,HPO18K02682,ממיס ומנקה שומנים תעשייתיים,N,,,10,270,ILS,540,0,0,0,2700,26/11/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,447
GLG-6011-23010400-25L,FIN.11/012491,חשבונית מס כולל מלאי,04/03/2018,5024432,קראוס תעשיות מתכת בעמ,,קראוס תעשיות מתכת בעמ,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",R1800865,ממיס ומנקה שומנים תעשייתיים,N,,,4,350,ILS,540,0,0,0,1400,27/02/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,352
GLG-6011-23010400-25L,FIN.11/012679,חשבונית מס כולל מלאי,11/03/2018,5023536,"א.ד טכנולוגיות סינון בע""מ",4482100,"א.ד טכנולוגיות סינון בע""מ","יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",18000229,ממיס ומנקה שומנים תעשייתיים,N,,,1,330,ILS,540,0,0,0,330,08/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,358
GLG-6011-23010400-25L,FIN.12/005403,חשבונית זיכוי,18/03/2018,5023536,"א.ד טכנולוגיות סינון בע""מ",4482100,"א.ד טכנולוגיות סינון בע""מ","יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",18000229,ממיס ומנקה שומנים תעשייתיים,N,,,1,330,ILS,540,0,0,0,-330,08/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,451
GLG-6011-23010400-25L,FIN.11/012940,חשבונית מס כולל מלאי,18/03/2018,5023536,"א.ד טכנולוגיות סינון בע""מ",4482100,"א.ד טכנולוגיות סינון בע""מ","יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",18000229,ממיס ומנקה שומנים תעשייתיים,N,,,1,330,ILS,540,0,0,0,330,18/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,363
GLG-6011-23010400-25L,FIN.11/013524,חשבונית מס כולל מלאי,08/04/2018,5024432,קראוס תעשיות מתכת בעמ,,קראוס תעשיות מתכת בעמ,"יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",R1801398,ממיס ומנקה שומנים תעשייתיים,N,,,16,350,ILS,540,0,0,0,5600,08/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,368
RGN-6011-1L,FIN.11/014508,חשבונית מס כולל מלאי,10/05/2018,5030433,"פילטר סייפ בע""מ",,"פילטר סייפ בע""מ","יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",14651,ממיס ומנקה שומנים תעשייתיים,N,,,24,19,ILS,24,0,0,0,456,15/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,699
GLG-6011-23010400-25L,FIN.11/016052,חשבונית מס כולל מלאי,24/06/2018,5023536,"א.ד טכנולוגיות סינון בע""מ",4482100,"א.ד טכנולוגיות סינון בע""מ","יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",18000634,ממיס ומנקה שומנים תעשייתיים,N,,,1,330,ILS,540,0,0,0,330,21/06/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,395
GLG-6011-23010400-25L,FIN.11/017298,חשבונית מס כולל מלאי,05/08/2018,5023536,"א.ד טכנולוגיות סינון בע""מ",4482100,"א.ד טכנולוגיות סינון בע""מ","יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",18000754,ממיס ומנקה שומנים תעשייתיים,N,,,1,330,ILS,540,0,0,0,330,01/08/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,410
RGN-6011-1L,FIN.11/017668,חשבונית מס כולל מלאי,14/08/2018,5026924,"אורן ושות הנדסת קירור בע""",,"אורן ושות הנדסת קירור בע""","יצרן מע' הידראוליות ופניאומטיות, שסתומים ואטמים",17396,ממיס ומנקה שומנים תעשייתיים,N,,,1,20,ILS,24,0,0,0,20,13/08/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,702
GLG-6011-23010400-25L,FIN.11/015624,חשבונית מס כולל מלאי,11/06/2018,2912001,"פ.מ.ס  מיגון בע""מ",61180,"פ.מ.ס  מיגון בע""מ",יצרן ציוד ומיכון,9334/18,ממיס ומנקה שומנים תעשייתיים,N,,,1,335,ILS,540,0,0,0,335,10/06/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,392
GLG-6011-20100400-5L,FIN.11/016162,חשבונית מס כולל מלאי,27/06/2018,5033355,תעשיות בית-אל זכרון יעקב,,תעשיות בית-אל זכרון יעקב,יצרן ציוד ומיכון,169113,ממיס ומנקה שומנים תעשייתיים,N,,,1,100,ILS,114,0,0,0,100,26/06/2018,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,0,,,287
GLG-6011-23010400-25L,FIN.11/018450,חשבונית מס כולל מלאי,12/09/2018,2912001,"פ.מ.ס  מיגון בע""מ",61180,"פ.מ.ס  מיגון בע""מ",יצרן ציוד ומיכון,9521/18,ממיס ומנקה שומנים תעשייתיים,N,,,2,335,ILS,540,0,0,0,670,04/09/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,419
GLG-6011-20100400-5L,FIN.11/011149,חשבונית מס כולל מלאי,21/01/2018,5030701,ג'אביל שמר,,"שמר מושן -ג'אביל  בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",SM927857,ממיס ומנקה שומנים תעשייתיים,N,,CHEM0314,1,95,ILS,114,0,0,0,95,18/01/2018,"רוטל דבקים וכימיקלים בע""מ",יוסי לביא,0,,,253
GLG-6011-23010400-25L,FIN.11/011790,חשבונית מס כולל מלאי,08/02/2018,5040957,דלתא טק טכנולוגיות,8258306,דלתא טכנולוגיות,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",07.02.18,ממיס ומנקה שומנים תעשייתיים,N,,,4,300,ILS,540,0,0,0,1200,07/02/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,342
GLG-6011-23010400-25L,FIN.11/012117,חשבונית מס כולל מלאי,20/02/2018,50312072,מאסיבית טכנולוגיות הדפסה,,מאסיבית טכנולוגיות הדפסה,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",PO18000394,ממיס ומנקה שומנים תעשייתיים,N,,RGN-6011-25L,3,353,ILS,540,0,0,0,1059,18/02/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,347
GLG-6011-42310400-750ML,FIN.11/012120,חשבונית מס כולל מלאי,20/02/2018,5025499,"קרמר אלקטרוניקה בע""מ",,"קרמר אלקטרוניקה בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",18097000982,ממיס ומנקה שומנים תעשייתיים,N,,2921-000056,24,20,ILS,24,0,0,0,480,20/02/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,476
GLG-6011-23010400-25L,FIN.11/012736,חשבונית מס כולל מלאי,12/03/2018,1000000,"י.ח אבידן בע""מ",,לקוחות שונים,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",11.3.18,ממיס ומנקה שומנים תעשייתיים,N,,,1,370,ILS,540,0,0,0,370,11/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,359
GLG-6011-42310400-750ML,FIN.11/013382,חשבונית מס כולל מלאי,29/03/2018,5041411,"א.ד שבב בע""מ",,"א.ד שבב בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",29/03/2018,ממיס ומנקה שומנים תעשייתיים,N,,,1,24,ILS,24,0,0,0,24,29/03/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,481
GLG-6011-20100400-5L,FIN.11/013904,חשבונית מס כולל מלאי,18/04/2018,5030701,ג'אביל שמר,,"שמר מושן -ג'אביל  בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",SM928820,ממיס ומנקה שומנים תעשייתיים,N,,CHEM0314,2,95,ILS,114,0,0,0,190,17/04/2018,"רוטל דבקים וכימיקלים בע""מ",יוסי לביא,0,,,274
GLG-6011-23010400-25L,FIN.11/015396,חשבונית מס כולל מלאי,04/06/2018,5040957,דלתא טק טכנולוגיות,8258306,דלתא טכנולוגיות,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",04.06.18,ממיס ומנקה שומנים תעשייתיים,N,,,5,300,ILS,540,0,0,0,1500,04/06/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,391
GLG-6011-23010400-25L,FIN.11/016408,חשבונית מס כולל מלאי,04/07/2018,50312072,מאסיבית טכנולוגיות הדפסה,,מאסיבית טכנולוגיות הדפסה,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",PO18001405,ממיס ומנקה שומנים תעשייתיים,N,,RGN-6011-25L,1,353,ILS,540,0,0,0,353,04/07/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,400
GLG-6011-23010400-25L,FIN.11/016408,חשבונית מס כולל מלאי,04/07/2018,50312072,מאסיבית טכנולוגיות הדפסה,,מאסיבית טכנולוגיות הדפסה,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",PO18001405,ממיס ומנקה שומנים תעשייתיים,N,,RGN-6011-25L,2,353,ILS,540,0,0,0,706,04/07/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,401
GLG-6011-42310400-750ML,FIN.11/017075,חשבונית מס כולל מלאי,29/07/2018,5041411,"א.ד שבב בע""מ",,"א.ד שבב בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",3929,ממיס ומנקה שומנים תעשייתיים,N,,,3,24,ILS,24,0,0,0,72,26/07/2018,"רוטל דבקים וכימיקלים בע""מ",,0,,,494
GLG-6011-23010400-25L,FIN.11/018358,חשבונית מס כולל מלאי,05/09/2018,2112007,סנמינה -SCI מערכות רפואיו,,סנמינה -SCI מערכות רפואיו,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",73165620,ממיס ומנקה שומנים תעשייתיים,N,,EXP-MAINT,1,300,ILS,540,0,0,0,300,03/09/2018,"רוטל דבקים וכימיקלים בע""מ",יוסי לביא,0,,,418
GLG-6011-20100400-5L,FIN.11/018464,חשבונית מס כולל מלאי,12/09/2018,5030701,ג'אביל שמר,,"שמר מושן -ג'אביל  בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",SM930033,ממיס ומנקה שומנים תעשייתיים,N,,CHEM0314,2,95,ILS,114,0,0,0,190,06/09/2018,"רוטל דבקים וכימיקלים בע""מ",יוסי לביא,0,,,305
GLG-6011-23010400-25L,FIN.11/018566,חשבונית מס כולל מלאי,16/09/2018,5040957,דלתא טכנולוגיות,8258306,דלתא טכנולוגיות,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",12.09.18,ממיס ומנקה שומנים תעשייתיים,N,,,5,300,ILS,540,0,0,0,1500,12/09/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,420
GLG-6011-20100400-5L,FIN.11/019483,חשבונית מס כולל מלאי,18/10/2018,5041290,"אנו תעשיות לייזר בע""מ",,"אנו תעשיות לייזר בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",18.10.18,ממיס ומנקה שומנים תעשייתיים,N,,,4,85,ILS,114,0,0,0,340,18/10/2018,"רוטל דבקים וכימיקלים בע""מ",דרור אילת,0,,,313
GLG-6011-23010400-25L,FIN.11/019597,חשבונית מס כולל מלאי,23/10/2018,50312072,מאסיבית טכנולוגיות הדפסה,,מאסיבית טכנולוגיות הדפסה,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",PO18001971,ממיס ומנקה שומנים תעשייתיים,N,,RGN-6011-25L,3,353,ILS,540,0,0,0,1059,22/10/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,431
GLG-6011-23010400-25L,FIN.11/020224,חשבונית מס כולל מלאי,12/11/2018,5041764,"כרמקס כלים מדויקים בע""מ",,"כרמקס כלים מדויקים בע""מ","יצרן ציוד מדויק,אלקטרוניקה,רפואי",PO180826,ממיס ומנקה שומנים תעשייתיים,N,,,1,540,ILS,540,0,0,0,540,11/11/2018,"רוטל דבקים וכימיקלים בע""מ",יוסי לביא,0,,,438
GLG-6011-23010400-25L,FIN.11/020781,חשבונית מס כולל מלאי,28/11/2018,5040957,דלתא טכנולוגיות,8258306,דלתא טכנולוגיות,"יצרן ציוד מדויק,אלקטרוניקה,רפואי",22.11.18,ממיס ומנקה שומנים תעשייתיים,N,,,6,300,ILS,540,0,0,0,1800,22/11/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,446
GLG-6011-42310400-750ML,FIN.11/011164,חשבונית מס כולל מלאי,21/01/2018,5041840,מפתח צול,4336003,מפתח צול,סוחר,15/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,12,14,ILS,24,0,0,0,168,15/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,472
GLG-6011-23010400-25L,FIN.11/011138,חשבונית מס כולל מלאי,21/01/2018,5041841,"משה קילופים בע""מ",,"משה קילופים בע""מ",סוחר,17/01/2018,ממיס ומנקה שומנים תעשייתיים,N,,,2,300,ILS,540,0,0,0,600,17/01/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,336
GLG-6011-20100400-5L,FIN.11/011486,חשבונית מס כולל מלאי,01/02/2018,5041809,"פיין סנטר בע""מ",5252259 ,"פיין סנטר בע""מ",סוחר,31.01.18,ממיס ומנקה שומנים תעשייתיים,N,,,2,65,ILS,114,0,0,0,130,31/01/2018,"רוטל דבקים וכימיקלים בע""מ",ניר שמחי,0,,,256
GLG-6011-42310400-750ML,FIN.11/011894,חשבונית מס כולל מלאי,12/02/2018,5041861,קלין מאסטר,5126118 ,קלין מאסטר,סוחר,08/02/2018,ממיס ומנקה שומנים תעשייתיים,N,,,24,13,ILS,24,0,0,0,312,08/02/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,475
GLG-6011-42310400-750ML,FIN.11/012867,חשבונית מס כולל מלאי,14/03/2018,5041840,מפתח צול,4336003,מפתח צול,סוחר,13/03/2018,ממיס ומנקה שומנים תעשייתיים,N,,,48,14,ILS,24,0,0,0,672,13/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,479
GLG-6011-23010400-25L,FIN.11/012928,חשבונית מס כולל מלאי,18/03/2018,5050015,"כל מתכת מדן בע""מ",,"כל מתכת מדן בע""מ",סוחר,1353538,ממיס ומנקה שומנים תעשייתיים,N,,,1,282.4,ILS,540,25,0,0,282.4,14/03/2018,"רוטל דבקים וכימיקלים בע""מ",ציון רון,0,,,362
GLG-6011-42310400-750ML,FIN.11/012939,חשבונית מס כולל מלאי,18/03/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,18/03/2018,ממיס ומנקה שומנים תעשייתיים,N,,,12,12,ILS,24,0,0,0,144,18/03/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,480
GLG-6011-20100400-5L,FIN.11/013844,חשבונית מס כולל מלאי,17/04/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,5783,ממיס ומנקה שומנים תעשייתיים,N,,,4,50.37,ILS,114,0,0,0,201.48,16/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,273
GLG-6011-42310400-750ML,FIN.11/013844,חשבונית מס כולל מלאי,17/04/2018,5041890,"זהר צח 2009 אילת בע""מ",88000 ,"זהר צח 2009 אילת בע""מ",סוחר,5783,ממיס ומנקה שומנים תעשייתיים,N,,,10,10,ILS,24,0,0,0,100,16/04/2018,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,0,,,482
